,EducationSector,Target IndividualProject ,Age,Gender,City,Influenced,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,MentalDisorder,KeyTraits
0,Engineering Sciences,No,19.0,Male,Yes,No,2.0,2.0,3.0,3.0,2.0,2.0,3.0,Yes,Passion
1,Engineering Sciences,Yes,22.0,Male,No,Yes,3.0,3.0,3.0,4.0,4.0,3.0,4.0,Yes,Vision
2,Engineering Sciences,No,18.0,Male,Yes,No,3.0,4.0,3.0,3.0,3.0,4.0,4.0,No,Passion
3,Engineering Sciences,Yes,20.0,Male,Yes,Yes,3.0,3.0,3.0,3.0,4.0,3.0,3.0,No,Rrresilience
4,Engineering Sciences,Yes,19.0,Male,Yes,Yes,2.0,3.0,3.0,3.0,4.0,3.0,2.0,Yes,Vision
5,Engineering Sciences,No,19.0,Male,Yes,Yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,No,Positivity
6,Engineering Sciences,Yes,19.0,Male,Yes,Yes,3.0,2.0,3.0,3.0,4.0,1.0,1.0,No,Work Ethic
7,Engineering Sciences,No,20.0,Male,Yes,Yes,4.0,2.0,4.0,4.0,5.0,3.0,4.0,Yes,Work Ethic
8,Others,Yes,20.0,Male,Yes,Yes,2.0,3.0,3.0,1.0,2.0,2.0,2.0,No,Passion
9,Engineering Sciences,Yes,17.0,Male,Yes,Yes,2.0,3.0,2.0,1.0,4.0,3.0,3.0,Yes,Work Ethic
10,"Economic Sciences, Business Studies, Commerce and Law",Yes,19.0,Male,Yes,No,3.0,3.0,3.0,4.0,3.0,5.0,4.0,No,Resilience
11,"Economic Sciences, Business Studies, Commerce and Law",Yes,19.0,Male,Yes,Yes,3.0,3.0,4.0,4.0,5.0,4.0,5.0,No,Passion
12,Engineering Sciences,Yes,19.0,Male,Yes,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Yes,Work Ethic
13,Engineering Sciences,No,21.0,Male,Yes,Yes,4.0,3.0,4.0,4.0,5.0,4.0,4.0,No,Vision
14,Others,No,20.0,Male,No,Yes,2.0,1.0,2.0,3.0,3.0,2.0,3.0,No,Passion
15,Engineering Sciences,No,18.0,Male,Yes,Yes,3.0,4.0,3.0,3.0,4.0,4.0,5.0,No,Positivity
16,Engineering Sciences,Yes,20.0,Male,Yes,Yes,3.0,2.0,3.0,2.0,3.0,2.0,2.0,Yes,Vision
17,Engineering Sciences,No,21.0,Male,Yes,No,4.0,3.0,4.0,4.0,4.0,4.0,4.0,No,Positivity
18,Engineering Sciences,No,19.0,Male,Yes,Yes,4.0,4.0,4.0,5.0,5.0,3.0,4.0,No,Passion
19,Engineering Sciences,No,20.0,Female,Yes,Yes,3.0,4.0,4.0,5.0,5.0,2.0,4.0,Yes,Passion
20,Engineering Sciences,No,19.0,Male,Yes,No,1.0,3.0,2.0,3.0,3.0,2.0,3.0,Yes,Vision
21,Engineering Sciences,No,21.0,Female,Yes,Yes,4.0,5.0,4.0,4.0,5.0,4.0,4.0,No,Positivity
22,Engineering Sciences,No,19.0,Male,Yes,Yes,2.0,3.0,3.0,2.0,3.0,2.0,3.0,No,Vision
23,"Economic Sciences, Business Studies, Commerce and Law",Yes,19.0,Male,Yes,Yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,Vision
24,Engineering Sciences,Yes,20.0,Male,Yes,Yes,3.0,3.0,3.0,4.0,3.0,3.0,3.0,No,Work Ethic
25,Engineering Sciences,No,18.0,Male,Yes,Yes,3.0,4.0,3.0,4.0,5.0,4.0,4.0,No,Vision
26,"Art, Music or Design",Yes,21.0,Male,Yes,Yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,No,Passion
27,"Economic Sciences, Business Studies, Commerce and Law",No,20.0,Male,Yes,No,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No,Work Ethic
28,"Economic Sciences, Business Studies, Commerce and Law",No,23.0,Female,Yes,Yes,2.0,3.0,3.0,3.0,3.0,3.0,3.0,No,Work Ethic
29,Engineering Sciences,No,18.0,Male,Yes,Yes,4.0,4.0,4.0,5.0,5.0,4.0,3.0,No,Passion
30,"Economic Sciences, Business Studies, Commerce and Law",Yes,17.0,Male,Yes,Yes,3.0,5.0,2.0,4.0,5.0,3.0,5.0,Yes,Work Ethic
31,Engineering Sciences,No,18.0,Male,Yes,Yes,3.0,3.0,4.0,3.0,3.0,3.0,3.0,No,Work Ethic
32,Humanities and Social Sciences,No,19.0,Male,Yes,Yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No,Vision
33,Engineering Sciences,Yes,22.0,Male,No,No,4.0,3.0,5.0,5.0,4.0,2.0,4.0,No,Resilience
